"Country","Year","Female_STEM_Graduates","GERD","Adult_Literacy","Female_Youth_Literacy","GII","Female_Labour_Force","Female_Researchers"
"Albania",2017,0,0,98.81623077,99.52555847,0,49.609,0
"Albania",2018,46.653,0,0,0,0,51.284,0
"Albania",2019,0,0,0,0,0.131,52.815,0
"Albania",2020,0,0,0,0,0.129,50.089,0
"Armenia",2017,0,0.22788,100,100,0,55.772,0
"Armenia",2018,39.811,0.18876,0,0,0,55.765,50.38416
"Armenia",2019,0,0.17854,0,0,0.219,57.625,51.51695
"Armenia",2020,0,0.2092,100,100,0.223,57.689,53.32569
"Armenia",2021,0,0,0,0,0,0,53.05958
"Armenia",2022,0,0,0,0,0,0,52.88971
"Azerbaijan",2017,0,0.18468,100,100,0,62.419,0
"Azerbaijan",2018,35.099,0.18416,0,0,0,62.988,58.56925
"Azerbaijan",2019,0,0.20013,100,100,0.317,65.714,54.96094
"Azerbaijan",2020,0,0.2239,0,0,0.333,64.728,54.54469
"Azerbaijan",2021,0,0,0,0,0,0,55.4477
"Azerbaijan",2022,0,0,0,0,0,0,57.92432
"Bahrain",2017,0,0,0,0,0,43.54,0
"Bahrain",2018,41.213,0,0,0,0,44.067,0
"Bahrain",2019,0,0,0,0,0.194,44.354,0
"Bahrain",2020,0,0,0,0,0.197,43.484,0
"Bangladesh",2017,0,0,73,94,0,36.449,0
"Bangladesh",2018,20.553,0,74,95,0,36.703,0
"Bangladesh",2019,0,0,75,96,0.521,36.906,0
"Bangladesh",2020,0,0,75,96,0.502,36.565,0
"Belarus",2017,0,0.58411,0,0,0,59.436,0
"Belarus",2018,27.416,0.60443,0,0,0,59.024,39.26084
"Belarus",2019,0,0.57733,100,100,0.098,59.331,38.99121
"Belarus",2020,0,0.53901,0,0,0.1,59.067,40.04911
"Belarus",2021,0,0,0,0,0,0,38.94369
"Belarus",2022,0,0,0,0,0,0,39.20614
"Belgium",2017,25.832,2.66666,0,0,0,48.737,0
"Belgium",2018,0,2.86018,0,0,0,49.533,0
"Belgium",2019,0,3.1566,100,0,0.048,49.841,32.62094
"Belgium",2020,0,3.39175,0,0,0.048,49.336,0
"Belgium",2021,0,0,0,0,0,0,33.52072
"Bulgaria",2017,36.872,0.74037,0,0,0,49.518,0
"Bulgaria",2018,0,0.75413,0,0,0,49.218,45.87575
"Bulgaria",2019,0,0.83274,0,0,0.205,50.276,46.51072
"Bulgaria",2020,0,0.84967,0,0,0.204,49.188,46.74961
"Bulgaria",2021,0,0,0,0,0,0,48.26547
"Bulgaria",2022,0,0,0,0,0,0,46.92402
"Cambodia",2015,16.68,0,0,0,0,0,0
"Cambodia",2017,0,0,0,0,0,67.418,0
"Cambodia",2018,0,0,0,0,0,68.582,0
"Cambodia",2019,0,0,0,0,0.492,69.725,0
"Cambodia",2020,0,0,0,0,0.489,69.062,0
"Croatia",2017,38.913,0.8415,0,0,0,45.543,0
"Croatia",2018,0,0.94312,0,0,0,45.476,49.00416
"Croatia",2019,0,1.07027,0,0,0.119,45.139,48.28467
"Croatia",2020,0,1.22989,0,0,0.095,44.638,48.99233
"Croatia",2021,0,0,0,0,0,0,48.75881
"Croatia",2022,0,0,0,0,0,0,48.44154
"Denmark",2017,34.249,2.93124,0,0,0,57.616,0
"Denmark",2018,0,2.96603,0,0,0,57.567,0
"Denmark",2019,0,2.89685,0,0,0.016,57.987,35.31743
"Denmark",2020,0,2.97258,0,0,0.013,57.75,0
"Finland",2017,27.4,2.72787,0,0,0,55.188,0
"Finland",2018,0,2.75749,0,0,0,55.856,33.70387
"Finland",2019,0,2.79961,0,0,0.031,55.765,33.74449
"Finland",2020,0,2.91243,100,99.13660049,0.032,55.224,33.40077
"Finland",2021,0,0,0,0,0,0,32.80407
"Finland",2022,0,0,0,0,0,0,33.58727
"France",2016,31.806,0,0,0,0,0,0
"France",2017,0,2.19888,0,0,0,51.311,0
"France",2018,0,2.19666,0,0,0,51.43,0
"France",2019,0,2.19179,97,100,0.086,51.256,0
"France",2020,0,2.27464,0,0,0.084,50.626,29.4111
"France",2021,0,0,0,0,0,0,29.87066
"France",2022,0,0,0,0,0,0,29.72227
"Georgia",2017,0,0.26645,99,99,0,56.751,0
"Georgia",2018,0,0.27573,99.65366364,99.94142914,0,55.648,52.98281
"Georgia",2019,38.678,0.28197,0,0,0.3,54.626,52.38936
"Georgia",2020,0,0.29765,0,0,0.277,55.115,53.41091
"Georgia",2021,0,0,0,0,0,0,53.26683
"Georgia",2022,0,0,0,0,0,0,53.92964
"Germany",2017,27.556,3.0471,0,0,0,55.915,0
"Germany",2018,0,3.11011,0,0,0,55.965,0
"Germany",2019,0,3.16701,99.5,99.97071457,0.079,56.596,28.05404
"Germany",2020,0,3.13136,0,0,0.078,55.56,0
"Germany",2021,0,0,0,0,0,0,29.35781
"Greece",2017,40.088,1.15228,0,0,0,44.354,0
"Greece",2018,0,1.21371,0,0,0,43.928,0
"Greece",2019,0,1.27499,0,0,0.122,44.08,39.56556
"Greece",2020,0,1.51149,98.5,99.52340508,0.119,43.268,39.29235
"Greece",2021,0,0,0,0,0,0,38.16251
"Greece",2022,0,0,0,0,0,0,39.86433
"Hungary",2017,31.68,1.31702,0,0,0,47.984,0
"Hungary",2018,0,1.50775,0,0,0,48.309,27.95343
"Hungary",2019,0,1.47291,0,0,0.239,48.368,30.00981
"Hungary",2020,0,1.59252,0,0,0.247,48.164,28.48803
"Hungary",2021,0,0,0,0,0,0,29.30278
"Hungary",2022,0,0,0,0,0,0,28.76198
"India",2017,0,0.66603,0,0,0,26.762,0
"India",2018,42.734,0.66001,0,0,0,26.609,16.60152
"India",2019,0,0.65942,0,0,0.476,26.461,0
"India",2020,0,0.64558,0,90.94999695,0.453,25.945,18.63402
"Indonesia",2017,0,0.23805,0,99.29000092,0,51.898,0
"Indonesia",2018,37.433,0.22632,96,100,0,53.089,44.87483
"Indonesia",2019,0,0.27129,0,0,0.45,53.91,43.32024
"Indonesia",2020,0,0.28068,96,100,0.446,53.167,43.06289
"Ireland",2016,29.002,0,0,0,0,0,0
"Ireland",2017,0,1.24866,0,0,0,55.653,0
"Ireland",2018,0,1.10698,0,0,0,56.038,0
"Ireland",2019,0,1.16068,99,99.34453583,0.079,56.251,36.87174
"Ireland",2020,0,1.14551,0,0,0.073,55.094,0
"Ireland",2021,0,0,0,0,0,0,37.47556
"Italy",2016,39.523,0,0,0,0,0,0
"Italy",2017,0,1.37013,0,0,0,40.932,0
"Italy",2018,0,1.42443,0,0,0,41.096,34.08839
"Italy",2019,0,1.46159,99,100,0.054,41.248,34.49547
"Italy",2020,0,1.5066,0,0,0.055,39.834,35.11974
"Italy",2021,0,0,0,0,0,0,36.14935
"Italy",2022,0,0,0,0,0,0,36.36511
"Kazakhstan",2017,0,0.12667,0,0,0,64.97,0
"Kazakhstan",2018,0,0.11683,0,0,0,64.775,52.80738
"Kazakhstan",2019,31.632,0.11841,0,0,0.19,64.629,52.43518
"Kazakhstan",2020,0,0.12602,99.80000305,99.90000153,0.185,63.694,53.4233
"Kazakhstan",2021,0,0,0,0,0,0,54.50503
"Kazakhstan",2022,0,0,0,0,0,0,53.79705
"Kuwait",2017,0,0.0804,96,99,0,49.444,0
"Kuwait",2018,0,0.06349,96,100,0,49.046,53.24553
"Kuwait",2019,37.576,0.18801,0,0,0.225,48.652,47.6129
"Kuwait",2020,0,0.1839,96,100,0.203,46.065,48.44804
"Kuwait",2022,0,0,0,0,0,0,49.67658
"Kyrgyzstan",2017,0,0.10707,0,0,0,0,0
"Kyrgyzstan",2018,0,0.10107,0,0,0,0,55.73724
"Kyrgyzstan",2019,0,0.08535,0,0,0.354,0,56.24454
"Kyrgyzstan",2020,0,0.08356,0,0,0.361,0,57.55436
"Kyrgyzstan",2021,0,0,0,0,0,0,59.84456
"Kyrgyzstan",2022,0,0,0,0,0,0,59.76633
"Lebanon",2017,0,0,0,0,0,27.694,0
"Lebanon",2018,0,0,93,96,0,28.489,0
"Lebanon",2019,42.1995,0,0,0,0.386,29.298,0
"Lebanon",2020,0,0,0,0,0.388,26.418,0
"Luxembourg",2016,27.575,0,0,0,0,0,0
"Luxembourg",2017,0,1.23898,0,0,0,54.979,0
"Luxembourg",2018,0,1.1718,0,0,0,55.804,0
"Luxembourg",2019,0,1.18177,99,99.37382126,0.059,55.837,27.37775
"Luxembourg",2020,0,1.09584,0,0,0.048,57.018,0
"Luxembourg",2021,0,0,0,0,0,0,29.89856
"Malaysia",2017,0,0,95,97,0,51.165,0
"Malaysia",2018,34.167,1.04026,95,97,0,51.58,49.17503
"Malaysia",2019,0,0,95,97,0.201,51.972,0
"Malaysia",2020,0,0.95055,0,0,0.197,51.664,53.2901
"Maldives",2017,10.563,0,94.50550842,99.67298889,0,41.595,0
"Maldives",2018,0,0,0,0,0,41.922,0
"Maldives",2019,0,0,98.21186066,98.86907959,0.336,41.886,0
"Maldives",2020,0,0,0,0,0.338,39.255,0
"Malta",2017,27.849,0.55232,0,0,0,46.103,0
"Malta",2018,0,0.57211,0,0,0,48.684,30.3532
"Malta",2019,0,0.55993,0,0,0.162,50.253,31.84239
"Malta",2020,0,0.64566,0,0,0.167,51.982,30.46489
"Malta",2021,0,0,0,0,0,0,30.373
"Malta",2022,0,0,0,0,0,0,32.44722
"Moldova",2017,0,0,0,0,0,67.403,0
"Moldova",2018,30.522,0,0,0,0,66.395,0
"Moldova",2019,0,0,0,0,0,68.302,0
"Moldova",2020,0,0,0,0,0,68.027,0
"Mongolia",2017,0,0.1342,0,0,0,53.866,0
"Mongolia",2018,34.078,0.10161,96.89634705,99.42350769,0,51.908,48.87846
"Mongolia",2019,0,0.0927,0,0,0.311,55.744,48.17401
"Mongolia",2020,0,0.13301,99,99,0.304,53.497,56.9402
"Mongolia",2022,0,0,0,0,0,0,57.41091
"Myanmar",2017,0,0.03218,0,0,0,47.67,0
"Myanmar",2018,60.764,0.05881,0,0,0,48.452,76.83665
"Myanmar",2019,0,0.08341,89,96,0.497,46.304,75.97043
"Myanmar",2019,0,0.08341,89,96,0.497,46.304,75.97043
"Myanmar",2020,0,0.15567,0,0,0.471,44.745,75.93397
"Myanmar",2021,0,0,0,0,0,0,75.07622
"Myanmar",2022,0,0,0,0,0,0,71.09024
"Nepal",2017,0,0,0,0,0,27.611,0
"Nepal",2018,0,0,0,0,0,28.083,0
"Nepal",2019,37.369,0,71.15000153,92.07302094,0.502,28.421,0
"Nepal",2019,37.369,0,68.71250153,92.07302094,0.502,28.421,0
"Nepal",2020,0,0,0,0,0.497,28.118,0
"Netherlands",2017,29.293,2.17857,0,0,0,58.797,0
"Netherlands",2018,0,2.1388,0,0,0,59.098,27.03818
"Netherlands",2019,0,2.18435,100,100,0.028,59.812,27.85407
"Netherlands",2020,0,2.32182,0,0,0.027,59.887,28.58613
"Netherlands",2021,0,0,0,0,0,0,30.24504
"Netherlands",2022,0,0,0,0,0,0,30.17117
"North Macedonia",2017,47.382,0.35439,0,0,0,42.76,0
"North Macedonia",2018,0,0.36367,0,98.74764252,0,42.429,53.40647
"North Macedonia",2019,0,0.36783,98.40811539,0,0.134,44.663,53.3137
"North Macedonia",2020,0,0.37264,0,0,0.136,43.737,53.73614
"North Macedonia",2021,0,0,0,0,0,0,54.18091
"North Macedonia",2022,0,0,0,0,0,0,54.43174
"Norway",2017,28.464,2.08167,0,0,0,60.359,0
"Norway",2018,0,2.03482,0,0,0,60.489,38.75966
"Norway",2019,0,2.136,98.5,99.67226791,0.016,60.604,38.59091
"Norway",2020,0,2.24436,0,0,0.014,60.235,38.66219
"Norway",2021,0,0,0,0,0,0,38.54674
"Norway",2022,0,0,0,0,0,0,38.73211
"Oman",2017,0,0.19925,96,99,0,30.593,0
"Oman",2018,55.734,0.19031,96,99,0,30.667,36.43186
"Oman",2019,0,0.27255,0,0,0.261,30.761,33.9736
"Oman",2020,0,0.31599,0,0,0.261,29.562,33.95368
"Oman",2021,0,0,0,0,0,0,34.91619
"Oman",2022,0,0,0,0,0,0,32.99023
"Pakistan",2017,0,0.21214,59,68,0,22.47,0
"Pakistan",2018,0,0,57,64,0,21.719,0
"Pakistan",2019,25.3445,0.17475,58,65,0.542,23.423,40.67585
"Pakistan",2020,0,0,0,0,0.527,23.661,0
"Pakistan",2021,0,0,0,0,0,0,42.28401
"Poland",2017,43.362,1.03785,0,0,0,49.197,0
"Poland",2018,0,1.2061,0,0,0,49.274,37.90223
"Poland",2019,0,1.32335,0,0,0.111,48.979,37.60142
"Poland",2020,0,1.38608,0,0,0.11,48.69,36.57723
"Poland",2021,0,0,0,0,0,0,36.23593
"Poland",2022,0,0,0,0,0,0,35.74985
"Portugal",2017,37.761,1.31928,0,0,0,54.06,0
"Portugal",2018,0,1.34955,0,0,0,54.483,43.25292
"Portugal",2019,0,1.39562,0,0,0.078,54.781,42.8186
"Portugal",2020,0,1.61392,0,0,0.078,53.598,42.47762
"Portugal",2021,0,0,0,0,0,0,42.56397
"Portugal",2022,0,0,0,0,0,0,42.1314
"Qatar",2017,0,0,0,0,0,57.592,0
"Qatar",2018,47.577,0.53129,0,0,0,58.381,34.07407
"Qatar",2019,0,0,0,0,0.167,59.074,0
"Qatar",2020,0,0,95.5,0,0.168,59.791,0
"Qatar",2021,0,0,0,0,0,0,31.86782
"Romania",2016,41.216,0,0,0,0,0,0
"Romania",2017,0,0.50693,0,0,0,45.952,0
"Romania",2018,0,0.49729,0,0,0,45.713,46.24877
"Romania",2019,0,0.47616,0,0,0.232,45.643,46.91181
"Romania",2020,0,0.46538,0,0,0.229,45.428,47.25881
"Romania",2021,0,0,0,0,0,0,46.61805
"Romania",2022,0,0,0,0,0,0,46.11389
"Saudi Arabia",2017,0,0,95,99,0,20.098,0
"Saudi Arabia",2018,36.822,0,0,0,0,22.028,0
"Saudi Arabia",2019,0,0,0,0,0.278,24.565,0
"Saudi Arabia",2020,0,0.49802,98,99,0.249,29.548,44.25817
"Saudi Arabia",2021,0,0,0,0,0,0,40.65624
"Saudi Arabia",2022,0,0,0,0,0,0,43.97663
"Serbia",2017,0,0.87238,0,0,0,46.161,0
